Style Number,Shape,Carat Weight,Color,Clarity,Graded By,Cut Grade,Fluorescence,Culet,Depth,Table,Girdle,Polish,Symmetry,Measurements,Price
PCH140_35190,Princess,0.53,J,SI1,GIA,Excellent,None,,,,,Good,Good,4.42 x 4.39 x 3.24 mm,1361
SJ-2571_56539,Princess,0.44,I,VVS1,GIA,Excellent,None,,73.2,73.0,Thick to Thick,Excellent,Very Good,4.27 x 4.10 x 3.00 mm,1876
GIA 20940_12794,Princess,0.59,D,SI2,GIA,Excellent,None,,72.0,72.0,Medium to Slightly Thick,Excellent,Good,4.73 x 4.69 x 3.38 mm,2198
GIA 22341_12794,Princess,0.46,E,VS1,GIA,Excellent,None,,72.1,71.0,Extr. Thin to Very Thick,Very Good,Very Good,4.37 x 4.26 x 3.08 mm,2277
SAN/FW-7-22_14255,Princess,0.43,E,VS2,GIA,Excellent,None,None Pointed,70.7,71.0,Slightly Thick to Slightly Thick,Very Good,Very Good,4.25 x 4.16 x 2.94 mm,1477
N0188104_92506,Princess,0.71,H,VS1,GIA,Excellent,None,,72.6,71.0,Medium to Slightly Thick,Excellent,Excellent,4.87 x 4.87 x 3.53 mm,2189
13236_49761,Princess,0.4,G,VS2,GIA,Excellent,None,,62.8,81.0,Thin to Very Thick,Very Good,Good,4.32 x 4.24 x 2.66 mm,1274
GIA 22837_12794,Princess,0.5,K,SI1,GIA,Excellent,None,,75.5,74.0,Thin to Thick,Excellent,Very Good,4.12 x 4.11 x 3.11 mm,1361
104989_63978,Princess,0.4,E,VS1,GIA,Excellent,None,,80.6,84.0,Thin to Very Thick,Good,Fair,4.20 x 3.72 x 3.00 mm,1606
31937_61592,Princess,0.55,E,SI1,GIA,Excellent,None,,73.5,74.0,Thick to Very Thick,Excellent,Excellent,4.48 x 4.37 x 3.21 mm,1897
BT80048_23617,Princess,0.7,J,I1,GIA,Excellent,None,,68.1,72.0,Very Thin to Thick,Very Good,Good,4.90 x 4.86 x 3.31 mm,1987
805 20_36142,Princess,0.63,G,I1,EGL,Excellent,None,,68.0,78.0,Slightly Thin to Slightly Thick,Very Good,Very Good,5.54 x 4.52 x 3.14 mm,2052
27469_29708,Princess,0.51,D,VS1,GIA,Excellent,Faint,None Pointed,71.8,71.0,Slightly Thick to Thick,Excellent,Very Good,4.52 x 4.44 x 3.19 mm,2219
17350_1326,Princess,0.63,J,SI2,GIA,Excellent,Faint,,80.9,72.0,Very Thick to Extr. Thick,Very Good,Fair,4.75 x 4.41 x 3.57 mm,1278
KB101_65543,Princess,0.73,G,I1,GIA,Excellent,Faint,,74.0,68.0,Slightly Thick to Very Thick,Very Good,Very Good,5.04 x 4.85 x 3.59 mm,2366
27087_61592,Princess,0.3,E,VS2,GIA,Excellent,None,,75.1,70.0,Slightly Thick to Thick,Excellent,Good,3.68 x 3.60 x 2.70 mm,889
DN-12_14152,Princess,0.7,G,I1,GIA,Excellent,Medium,,71.0,77.0,Medium to Extr. Thick,Very Good,Fair,4.95 x 4.71 x 3.34 mm,2133
3429_73755,Princess,0.49,E,VS2,GIA,Excellent,None,,76.3,77.0,Very Thin to Very Thick,Good,Good,4.73 x 4.17 x 3.18 mm,1758
29988_43225,Princess,0.31,G,VVS2,GIA,Excellent,None,,70.0,77.0,Medium to Thick,Excellent,Good,3.81 x 3.76 x 2.63 mm,997
0172_31501,Princess,0.45,K,SI1,GIA,Excellent,Medium,,57.1,76.0,Thin to Slightly Thick,Very Good,Good,4.92 x 4.35 x 2.48 mm,724
