Style Number,Shape,Carat Weight,Color,Clarity,Graded By,Cut Grade,Fluorescence,Culet,Depth,Table,Girdle,Polish,Symmetry,Measurements,Price
BN46-2_13198,Round,1.01,H,VVS2,GIA,Excellent,Faint,,61.20,61.00,Medium to Slightly Thick,Excellent,Excellent,6.43 x 6.47 x 3.95 mm,13537
U752-63_220,Round,1.40,D,VS2,GIA,Excellent,None,None,62.40,58.00,Medium to Slightly Thick,Excellent,Excellent,7.13 x 7.16 x 4.46 mm,27126
BHEM-357_105955,Round,2.12,K,VVS1,GIA,Excellent,Medium,,61.00,62.00,Medium to Slightly Thick,Excellent,Excellent,8.20 x 8.26 x 5.02 mm,27090
H3399_1159,Round,0.30,I,I1,IGI,Excellent,None,None,60.40,60.50,,Excellent,Excellent,4.31 x 4.34 x 2.61 mm,435
2007_75570,Round,0.56,G,VS2,GIA,Excellent,Strong,,62.20,57.00,Medium to Slightly Thick,Excellent,Excellent,5.23 x 5.27 x 3.26 mm,3075
H6786_1159,Round,0.30,J,SI2,IGI,Very Good,None,Medium,61.80,64.50,,Excellent,Good,4.2 x 4.25 x 2.62 mm,419
RR-2233_45495,Round,1.43,E,SI1,EGL,Excellent,None,,62.30,61.00,Slightly Thick to Slightly Thick,Excellent,Excellent,7.06 x 7.15 x 4.43 mm,13503
T654-1_220,Round,1.30,E,VS1,GIA,Excellent,None,None,62.20,59.00,Thin to Slightly Thick,Excellent,Excellent,6.93 x 6.97 x 4.32 mm,27431
BG846-2_220,Round,1.50,D,SI2,GIA,Excellent,None,None,60.10,59.00,Thin to Medium,Excellent,Excellent,7.45 x 7.48 x 4.48 mm,27225
USHZF013_DDPL,Round,0.51,H,VS2,GIA,Excellent,None,,59.70,61.00,,Excellent,Excellent,5.2 x 5.18 x 3.1 mm,3087
VSMGH068_DDPL,Round,1.51,E,SI1,GIA,Excellent,Medium,,61.90,59.00,,Excellent,Excellent,7.32 x 7.28 x 4.52 mm,27293
25481_66819,Round,1.92,D,SI1,EGL,Good,Faint,,63.90,61.00,Very Thin to Very Thick,Good,Good,7.59 x 7.74 x 4.90 mm,27230
25934_66819,Round,2.00,H,VS2,EGL,Ideal,Faint,,59.60,60.00,Very Thin to Slightly Thick,Excellent,Excellent,8.11 x 8.16 x 4.85 mm,27420
7116205_123443,Round,1.50,J,SI2,GIA,Excellent,None,,61.80,58.00,Medium to Slightly Thick,Excellent,Excellent,7.24 x 7.30 x 4.49 mm,13534
U-11253_89949,Round,0.50,E,VVS2,GIA,Excellent,None,,60.10,59.00,Medium to Slightly Thick,Excellent,Very Good,5.16 x 5.18 x 3.11 mm,3068
EK-7948_30893,Round,1.90,J,VS2,GIA,Excellent,Medium,,63.60,56.00,Medium to Slightly Thick,Excellent,Excellent,7.80 x 7.85 x 4.98 mm,27699
USLGU038_DDPL,Round,0.57,I,VVS2,GIA,Excellent,Faint,,61.50,60.00,,Excellent,Excellent,5.34 x 5.3 x 3.27 mm,3093
