Shape,Carat,Color,Clarity,Cut,Fluorescence,Polish,Symmetry,Length,Width,Depth,Log_Price
0,0.53,6,1,0,1,1,2,4.42,4.39,3.24,7.215975002651466
0,0.44,5,5,0,1,0,3,4.27,4.1,3.0,7.53689712956617
0,0.59,0,2,0,1,0,2,4.73,4.69,3.38,7.6953031349635665
0,0.46,1,3,0,1,2,3,4.37,4.26,3.08,7.7306140660637395
0,0.43,1,4,0,1,2,3,4.25,4.16,2.94,7.29776828253138
0,0.71,4,3,0,1,0,0,4.87,4.87,3.53,7.691200097522863
0,0.4,3,4,0,1,2,2,4.32,4.24,2.66,7.149916836132109
0,0.5,7,1,0,1,0,3,4.12,4.11,3.11,7.215975002651466
0,0.4,1,3,0,1,1,1,4.2,3.72,3.0,7.381501894506707
0,0.55,1,1,0,1,0,0,4.48,4.37,3.21,7.5480289699350145
0,0.7,6,7,0,1,2,2,4.9,4.86,3.31,7.594381242551817
0,0.63,3,7,0,1,2,3,5.54,4.52,3.14,7.62657020629066
0,0.51,0,3,0,0,0,3,4.52,4.44,3.19,7.704811922932594
0,0.63,6,2,0,0,2,1,4.75,4.41,3.57,7.15305163493748
0,0.73,3,7,0,0,2,3,5.04,4.85,3.59,7.768956044538332
0,0.3,1,4,0,1,0,2,3.68,3.6,2.7,6.790097235513905
0,0.7,3,7,0,0,2,1,4.95,4.71,3.34,7.665284718471351
0,0.49,1,4,0,1,1,2,4.73,4.17,3.18,7.471932078245122
0,0.31,3,6,0,1,0,2,3.81,3.76,2.63,6.904750769961838
0,0.45,7,1,0,0,2,2,4.92,4.35,2.48,6.584791392385716
0,0.5,7,1,0,0,0,2,4.36,4.26,3.02,7.293697720601438
0,0.59,7,6,0,1,0,3,4.56,4.53,3.28,7.29641326877392
0,0.5,2,4,0,1,2,1,4.22,4.22,3.21,7.477604243197589
0,0.5,4,4,0,1,0,3,4.53,4.41,3.15,7.61972421378267
0,0.4,6,3,0,0,2,2,3.95,3.78,2.88,6.9584483932976555
0,0.51,4,2,0,1,0,3,4.18,4.15,3.14,7.354362330421477
0,0.54,0,1,0,0,2,3,4.51,4.47,3.25,7.498315870766981
0,0.5,5,3,0,0,2,2,4.45,4.19,3.17,7.54274354536855
0,0.51,1,3,0,1,2,2,4.36,4.35,3.14,7.786136437783072
0,0.39,5,6,0,1,1,1,4.4,3.85,2.83,7.033506484287697
0,0.46,3,1,0,1,0,2,4.31,4.21,3.05,7.528869256642251
0,0.42,3,5,0,1,0,3,4.13,4.08,2.99,7.357556200910353
0,0.4,2,3,0,0,2,3,4.4,4.27,2.65,7.3395376954076745
0,0.81,7,4,0,0,2,3,5.09,4.86,3.71,7.790282380703483
0,0.87,3,7,0,1,2,2,5.0,4.94,3.85,7.763021309018518
0,0.59,7,1,0,1,0,3,4.48,4.4,3.32,7.4999765409521215
0,0.7,5,3,0,1,2,3,5.02,4.81,3.26,7.732807530422021
0,0.5,7,1,0,0,0,2,4.25,4.06,3.09,7.293697720601438
0,0.71,2,3,0,0,0,3,4.93,4.82,3.51,7.707512194600341
0,0.5,7,4,0,1,2,2,4.3,4.18,3.22,6.910750787961936
0,0.62,5,0,0,1,0,0,4.81,4.71,3.39,7.674617497364363
0,0.5,4,6,0,1,1,2,4.31,4.09,3.35,7.57095858316901
0,0.42,4,5,0,1,2,3,4.31,4.14,3.0,7.658227526161352
0,0.43,4,2,0,1,1,1,4.6,3.88,2.94,7.02197642307216
0,0.5,7,2,0,1,2,3,4.28,4.2,3.09,7.188412736496954
0,0.6,6,5,0,1,2,2,4.57,4.45,3.39,7.368970402194793
0,0.3,1,3,0,1,0,3,3.8,3.72,2.68,6.7580945044277305
0,0.75,3,2,0,1,2,2,4.96,4.64,3.66,7.509883061154913
0,0.73,3,7,0,1,1,2,5.7,4.48,3.37,7.7057128238944275
0,0.31,3,3,0,0,0,2,3.79,3.75,2.55,6.894670039433482
0,0.55,4,2,0,1,0,2,4.43,4.37,3.21,7.5251007461258
0,0.34,1,6,0,1,2,2,3.96,3.95,2.66,6.946975992135418
0,0.7,3,2,0,0,0,2,4.91,4.73,3.58,7.498315870766981
0,0.3,2,6,3,1,2,3,3.72,3.66,2.42,7.293017679772782
0,0.59,5,4,0,0,0,3,4.67,4.66,3.32,7.655390644826152
0,0.71,4,3,0,1,0,0,4.87,4.87,3.53,7.691200097522863
0,0.48,5,4,0,0,1,1,4.39,4.1,3.21,7.0967213784947605
0,0.73,1,2,0,1,0,3,5.05,4.94,3.6,7.45298232946546
0,0.7,4,7,0,0,1,1,4.67,4.66,3.63,7.563719668414366
0,0.72,5,3,0,1,2,3,4.99,4.58,3.62,7.810758116529357
0,0.5,2,4,0,1,2,2,4.53,4.32,3.06,7.6838639802564295
0,0.5,3,6,0,1,2,3,4.38,4.36,3.07,7.290292882446597
0,0.6,7,6,0,0,0,3,4.53,4.38,3.43,7.7057128238944275
0,0.5,0,1,0,1,1,1,4.36,4.2,3.18,7.387090235656757
0,0.44,1,6,0,1,1,2,4.49,4.4,2.84,7.6577552711348655
0,0.41,5,5,0,1,0,3,4.16,4.11,2.93,7.117205503164344
0,0.42,5,7,0,1,1,1,4.25,3.89,2.89,6.561030665896573
0,0.39,3,6,0,0,2,2,3.82,3.77,3.07,7.138866999945524
0,0.3,1,6,0,1,2,3,3.64,3.64,2.69,6.879355804460439
0,0.55,2,4,0,1,2,1,4.44,4.05,3.34,7.179307969504034
0,0.43,2,3,0,1,1,1,4.65,3.78,2.92,7.326465613840322
0,0.5,1,4,0,1,0,1,4.24,4.2,3.23,7.565793282428515
0,0.61,4,5,0,0,0,3,4.57,4.42,3.33,7.550661243105336
0,0.3,5,5,0,1,2,3,3.6,3.6,2.72,6.416732282512326
0,0.7,5,6,0,1,0,3,4.8,4.78,3.59,7.811163385025279
0,0.32,0,0,0,1,0,3,3.96,3.89,2.74,7.249215057114389
