Shape,Carat,Color,Clarity,Cut,Fluorescence,Polish,Symmetry,Length,Width,Depth,Log_Price
1,1.01,4,6,0,0,0,0,6.43,6.47,3.95,9.513181956185786
1,1.4,0,4,0,1,0,0,7.13,7.16,4.46,10.20824795652266
1,1.85,7,5,0,0,0,0,8.2,8.26,5.02,10.20691993507914
1,0.3,5,7,0,1,0,0,4.31,4.34,2.61,6.075346031088684
1,0.56,3,4,0,0,0,0,5.23,5.27,3.26,8.031060180240619
1,0.3,6,2,3,1,0,2,4.2,4.25,2.62,6.037870919922137
1,1.43,1,1,0,1,0,0,7.06,7.15,4.43,9.510667161961042
1,1.3,1,3,0,1,0,0,6.93,6.97,4.32,10.21942903970169
1,1.5,0,2,0,1,0,0,7.45,7.48,4.48,10.21189094780116
1,0.51,4,4,0,1,0,0,5.2,5.18,3.1,8.034955024502159
1,1.51,1,1,0,0,0,0,7.32,7.28,4.52,10.214385538037911
1,1.85,0,1,2,0,1,2,7.59,7.74,4.9,10.212074585667805
1,1.85,4,4,0,0,0,0,8.11,8.16,4.85,10.219027953116305
1,1.5,6,2,0,1,0,0,7.24,7.3,4.49,9.51296031679217
1,0.5,1,6,0,1,0,3,5.16,5.18,3.11,8.028781162487148
1,1.85,6,4,0,0,0,0,7.8,7.85,4.98,10.229151590440738
1,0.57,5,6,0,0,0,0,5.34,5.3,3.27,8.03689677268507
1,0.6,4,5,0,1,0,0,5.39,5.44,3.33,8.036573409707312
1,0.56,4,4,0,0,0,0,5.29,5.26,3.27,8.0323601479245
1,1.72,4,2,0,0,0,0,7.64,7.68,4.77,10.208837622641315
1,1.2,3,1,0,0,0,0,6.73,6.76,4.22,9.031931152002144
1,1.07,4,3,0,1,0,0,6.47,6.51,4.06,9.500993027872797
1,0.31,7,1,0,1,0,0,4.38,4.39,2.64,6.091309882077698
1,1.01,3,4,1,0,2,2,6.48,6.63,1.01,9.497922439427631
1,1.51,6,0,3,0,0,3,7.59,7.63,4.42,10.213469132482675
1,1.0,2,1,2,1,0,3,6.27,6.28,3.97,9.031572493381526
1,0.35,6,2,0,1,0,0,4.5,4.53,2.82,6.068425588244111
1,0.91,1,6,0,1,2,0,6.26,6.29,3.78,9.493336482437249
1,0.52,1,4,0,1,0,0,5.22,5.24,3.14,8.029432840581244
1,0.5,2,5,3,1,0,0,4.97,4.94,3.15,8.035602692918582
1,1.6,4,2,0,1,0,0,7.57,7.58,4.55,10.211376582296397
1,1.85,3,2,0,1,0,0,7.87,7.83,4.99,10.22379411156297
1,1.01,3,2,3,0,2,3,6.29,6.22,3.99,9.034676602846295
1,0.3,4,7,3,1,0,3,4.27,4.3,2.61,5.948034989180646
